"listing_neighbourhood","month_year","total_active_listings","total_inactive_listings","min_price","max_price","median_price","avg_price","distinct_hosts","superhost_rate","avg_review_scores_rating","total_stays","avg_estimated_revenue_per_active_listing","pct_change_active_listings","pct_change_inactive_listings"
ryde,"04-2021",555,0,15.00,5000.00,85.0,116.61,427,16.39,95.42,11457,2500.52,-5.45,
strathfield,"05-2020",208,0,15.00,1000.00,69.5,123.42,157,15.92,92.06,3597,2077.19,,
strathfield,"06-2020",209,0,16.00,999.00,69.0,122.03,156,14.74,92.12,3332,1404.44,0.48,
strathfield,"07-2020",176,0,16.00,999.00,75.5,130.19,134,17.16,92.03,2616,1675.06,-15.79,
strathfield,"08-2020",175,0,20.00,4567.00,70.0,133.18,134,16.42,91.77,2390,1173.31,-0.57,
strathfield,"09-2020",228,0,20.00,4567.00,70.0,120.99,149,16.78,91.96,3934,1445.66,30.29,
strathfield,"10-2020",194,0,20.00,4567.00,70.0,127.16,145,17.24,92.39,3292,1447.82,-14.91,
strathfield,"11-2020",183,0,20.00,4567.00,69.0,122.16,141,14.18,92.05,2769,1218.79,-5.67,
strathfield,"12-2020",177,0,20.00,4567.00,67.0,129.03,141,14.18,92.95,3108,1476.60,-3.28,
strathfield,"01-2021",178,0,20.00,4567.00,69.5,127.84,141,14.18,93.04,3253,1882.76,0.56,
strathfield,"02-2021",178,0,20.00,4567.00,70.0,131.57,141,14.89,93.48,2867,1441.61,0.00,
strathfield,"03-2021",176,0,20.00,4567.00,70.0,130.50,141,14.89,93.69,2960,1458.24,-1.12,
strathfield,"04-2021",177,0,20.00,4567.00,70.0,131.86,144,13.89,93.35,3028,1468.72,0.57,
sutherland shire,"05-2020",564,0,35.00,2440.00,144.5,213.37,486,29.63,96.22,10273,3858.44,,
sutherland shire,"06-2020",544,0,34.00,2440.00,141.5,213.01,474,30.59,96.40,10612,4139.85,-3.55,
sutherland shire,"07-2020",480,0,35.00,2710.00,145.0,224.62,425,31.29,96.61,9238,4280.56,-11.76,
sutherland shire,"08-2020",478,0,24.00,1500.00,132.5,199.15,426,32.86,96.88,9114,3879.60,-0.42,
sutherland shire,"09-2020",559,0,24.00,1523.00,133.0,203.82,453,31.13,96.57,11688,4316.57,16.95,
sutherland shire,"10-2020",507,0,22.00,1500.00,135.0,210.00,448,31.47,96.67,10631,4527.99,-9.30,
sutherland shire,"11-2020",508,0,24.00,1500.00,135.5,216.45,449,30.73,96.73,10263,4519.16,0.20,
sutherland shire,"12-2020",515,0,24.00,1669.00,148.0,236.45,454,31.28,96.80,12220,5712.07,1.38,
sutherland shire,"01-2021",518,0,24.00,1741.00,147.0,235.38,452,31.42,96.86,11124,5060.64,0.58,
sutherland shire,"02-2021",510,0,24.00,1988.00,140.5,224.33,447,31.32,96.87,10423,4621.75,-1.54,
sutherland shire,"03-2021",512,0,24.00,1988.00,140.5,225.30,450,30.22,96.94,10597,4609.65,0.39,
sutherland shire,"04-2021",507,0,24.00,2143.00,150.0,231.38,441,30.39,96.82,10464,4622.97,-0.98,
sydney,"05-2020",9593,0,0,14315.00,135.0,211.25,6262,15.28,94.14,191705,3651.31,,
sydney,"06-2020",9364,0,0,14314.00,134.0,209.78,6185,15.20,94.25,193943,3719.98,-2.39,
sydney,"07-2020",7798,0,0,14314.00,136.0,247.25,5219,15.85,94.52,163251,4117.37,-16.72,
sydney,"08-2020",7629,0,11.00,14315.00,113.0,159.45,5210,16.30,94.46,155021,3056.58,-2.17,
sydney,"09-2020",9681,0,11.00,14315.00,114.0,165.39,5842,14.84,94.51,208998,3386.87,26.90,
sydney,"10-2020",8323,0,11.00,14315.00,115.0,166.02,5774,14.81,94.54,185882,3531.31,-14.03,
sydney,"11-2020",8188,0,11.00,22500.00,115.0,169.30,5728,14.77,94.55,182866,3583.40,-1.62,
sydney,"12-2020",8056,0,11.00,22500.00,120.0,181.91,5668,14.80,94.65,196662,4181.37,-1.61,
sydney,"01-2021",8153,0,11.00,23929.00,120.0,194.92,5625,14.61,94.75,191368,4237.68,1.20,
sydney,"02-2021",8074,0,11.00,23571.00,120.0,189.03,5581,14.37,94.79,186011,4020.82,-0.97,
sydney,"03-2021",7956,0,11.00,22500.00,120.0,192.43,5538,14.25,94.76,185175,4204.81,-1.46,
sydney,"04-2021",7773,0,11.00,14315.00,120.0,181.72,5440,14.01,94.84,186367,4132.13,-2.30,
the hills shire,"05-2020",325,0,24.00,6986.00,80.0,179.70,259,25.87,95.24,4798,1903.34,,
the hills shire,"06-2020",314,0,24.00,6984.00,80.0,179.07,250,24.40,94.94,4879,1945.72,-3.38,
the hills shire,"07-2020",310,0,26.00,6985.00,85.0,263.14,238,26.47,95.24,4505,2323.02,-1.27,
the hills shire,"08-2020",304,0,25.00,9999.00,79.5,195.91,244,25.00,95.14,4206,1602.28,-1.94,
the hills shire,"09-2020",334,0,21.00,9999.00,79.5,191.95,247,24.70,95.31,4999,1859.26,9.87,
the hills shire,"10-2020",314,0,25.00,9999.00,75.0,196.78,242,24.38,95.20,4935,2456.33,-5.99,
the hills shire,"11-2020",307,0,25.00,9999.00,75.0,223.26,235,23.40,94.95,4399,2088.93,-2.23,
the hills shire,"12-2020",296,0,25.00,7918.00,75.0,208.21,227,22.03,94.93,5498,4009.03,-3.58,
the hills shire,"01-2021",299,0,25.00,8224.00,75.0,213.11,225,22.22,95.11,5030,3131.08,1.01,
the hills shire,"02-2021",295,0,25.00,6627.00,75.0,203.35,222,22.97,95.08,4900,2338.77,-1.34,
the hills shire,"03-2021",288,0,25.00,6025.00,75.0,201.23,220,22.73,95.02,4651,2403.97,-2.37,
the hills shire,"04-2021",278,0,25.00,6942.00,75.0,231.06,213,21.60,95.14,4764,2569.24,-3.47,
waverley,"05-2020",5091,0,5.00,10000.00,150.0,244.86,4210,9.22,95.93,120191,5386.74,,
waverley,"06-2020",5024,0,4.00,10000.00,150.0,244.25,4165,9.00,95.98,119400,5430.48,-1.32,
waverley,"07-2020",4122,0,14.00,10000.00,150.0,249.65,3475,9.21,96.00,97589,5413.87,-17.95,
waverley,"08-2020",4218,0,14.00,10000.00,149.0,228.64,3518,9.18,96.04,98129,5016.96,2.33,
waverley,"09-2020",5621,0,5.00,10000.00,150.0,233.63,4000,8.68,96.16,137292,5413.09,33.26,
waverley,"10-2020",4765,0,5.00,10000.00,150.0,233.47,3968,8.64,96.18,118461,5586.35,-15.23,
waverley,"11-2020",4740,0,5.00,10000.00,150.0,235.65,3964,8.55,96.17,118042,5626.18,-0.52,
waverley,"12-2020",4803,0,5.00,10000.00,150.0,256.75,4009,8.58,96.32,123109,6210.73,1.33,
waverley,"01-2021",4780,0,5.00,10000.00,150.0,250.81,3975,8.53,96.32,121112,6035.69,-0.48,
waverley,"02-2021",4737,0,5.00,10000.00,150.0,249.20,3945,8.42,96.30,118945,5984.41,-0.90,
waverley,"03-2021",4678,0,5.00,10000.00,150.0,243.37,3908,8.19,96.36,117907,5810.83,-1.25,
waverley,"04-2021",4622,0,5.00,10000.00,150.0,243.14,3856,8.25,96.33,116643,5863.53,-1.20,
willoughby,"05-2020",528,0,26.00,2599.00,127.5,198.44,403,13.15,94.24,9205,3605.59,,
willoughby,"06-2020",524,0,25.00,2600.00,122.0,195.91,401,12.22,94.31,9149,3505.64,-0.76,
willoughby,"07-2020",453,0,22.00,2711.00,119.0,219.21,334,12.57,94.61,7516,3250.32,-13.55,
willoughby,"08-2020",467,0,24.00,14568.00,104.0,199.52,348,12.93,94.55,7843,3916.38,3.09,
willoughby,"09-2020",575,0,19.00,14568.00,110.0,199.41,376,13.30,94.54,10256,4027.69,23.13,
willoughby,"10-2020",493,0,24.00,14568.00,101.0,212.43,371,13.21,94.78,9741,4996.69,-14.26,
willoughby,"11-2020",485,0,24.00,14568.00,102.0,208.13,372,13.98,95.10,9212,4706.74,-1.62,
willoughby,"12-2020",485,0,22.00,14568.00,115.0,237.57,375,14.13,95.21,10821,5825.53,0.00,
willoughby,"01-2021",490,0,24.00,14568.00,110.0,237.90,373,13.94,95.31,10220,5695.53,1.03,
willoughby,"02-2021",477,0,24.00,14568.00,112.0,212.54,367,13.62,95.28,9504,4775.32,-2.65,
willoughby,"03-2021",479,0,24.00,14568.00,110.0,214.56,366,13.66,95.25,9820,4924.96,0.42,
willoughby,"04-2021",470,0,24.00,14568.00,110.0,217.94,358,12.85,95.30,9659,4963.40,-1.88,
woollahra,"05-2020",1549,0,23.00,12076.00,150.0,321.89,1281,11.16,95.75,34279,6124.09,,
woollahra,"06-2020",1510,0,23.00,12075.00,150.0,318.54,1255,11.00,95.78,34176,6189.84,-2.52,
woollahra,"07-2020",1306,0,27.00,5716.00,152.5,326.95,1080,11.67,95.88,28902,6328.29,-13.51,
woollahra,"08-2020",1318,0,28.00,9501.00,150.0,310.75,1094,11.88,95.87,28798,6238.58,0.92,
woollahra,"09-2020",1650,0,20.00,28613.00,150.0,352.80,1216,10.77,95.86,37965,7401.15,25.19,
woollahra,"10-2020",1438,0,20.00,28613.00,150.0,341.64,1198,10.85,95.94,33774,7400.16,-12.85,
woollahra,"11-2020",1415,0,20.00,28613.00,150.0,319.42,1192,11.16,95.95,33103,6947.04,-1.60,
woollahra,"12-2020",1396,0,25.00,28613.00,155.0,346.17,1172,10.67,96.09,34094,7626.10,-1.34,
woollahra,"01-2021",1390,0,25.00,28613.00,150.0,334.17,1164,10.57,96.09,33614,7258.16,-0.43,
woollahra,"02-2021",1382,0,25.00,28613.00,152.0,333.18,1157,10.80,96.13,32350,6885.49,-0.58,
woollahra,"03-2021",1370,0,25.00,28613.00,150.0,329.92,1152,10.59,96.12,32364,6739.40,-0.87,
woollahra,"04-2021",1312,0,25.00,28613.00,152.0,362.27,1101,10.72,96.33,31948,7521.04,-4.23,
