"property_type","room_type","accommodates","month_year","active_listing_rate","min_price","max_price","median_price","avg_price","distinct_hosts","superhost_rate","avg_review_scores_rating","total_stays","avg_estimated_revenue_per_active_listing","pct_change_active_listings","pct_change_inactive_listings"
aparthotel,entire home/apt,2,"05-2020",100.00,165.00,165.00,165.0,165.00,1,100.00,94.00,0,0.00,,
aparthotel,entire home/apt,2,"06-2020",100.00,164.00,164.00,164.0,164.00,1,100.00,94.00,0,0.00,0.00,
aparthotel,entire home/apt,3,"06-2020",100.00,99.00,109.00,104.0,104.00,1,0.00,97.50,5,61.88,,
aparthotel,entire home/apt,3,"07-2020",100.00,98.00,108.00,103.0,103.00,1,0.00,76.88,30,370.00,0.00,
aparthotel,entire home/apt,5,"05-2020",100.00,158.00,158.00,158.0,158.00,1,0.00,93.00,28,4424.00,,
aparthotel,entire home/apt,5,"06-2020",100.00,158.00,158.00,158.0,158.00,1,0.00,93.00,14,2212.00,0.00,
aparthotel,entire home/apt,5,"07-2020",100.00,158.00,158.00,158.0,158.00,1,0.00,93.00,13,2054.00,0.00,
aparthotel,hotel room,2,"05-2020",100.00,47.00,501.00,347.5,310.75,2,50.00,92.50,8,888.50,,
aparthotel,hotel room,2,"06-2020",100.00,48.00,501.00,348.0,311.25,2,50.00,92.50,25,3018.00,0.00,
aparthotel,hotel room,2,"07-2020",100.00,196.00,500.00,500.0,398.67,1,100.00,97.33,15,2398.67,-25.00,
aparthotel,hotel room,4,"05-2020",100.00,499.00,501.00,501.0,500.33,2,50.00,96.00,0,0.00,,
aparthotel,hotel room,4,"06-2020",100.00,499.00,501.00,501.0,500.33,2,50.00,96.00,2,334.00,0.00,
aparthotel,hotel room,4,"07-2020",100.00,500.00,500.00,500.0,500.00,1,100.00,93.00,8,4000.00,-66.67,
aparthotel,private room,2,"05-2020",100.00,80.00,351.00,130.0,172.75,3,33.33,94.50,32,665.00,,
aparthotel,private room,2,"06-2020",100.00,80.00,350.00,130.0,172.50,3,33.33,92.75,61,1607.50,0.00,
aparthotel,private room,2,"07-2020",100.00,80.00,350.00,130.0,156.67,3,33.33,95.17,35,543.33,50.00,
aparthotel,private room,3,"05-2020",100.00,139.00,139.00,139.0,139.00,1,100.00,100.00,1,139.00,,
aparthotel,private room,3,"06-2020",100.00,140.00,140.00,140.0,140.00,1,100.00,100.00,1,140.00,0.00,
aparthotel,private room,3,"07-2020",100.00,140.00,140.00,140.0,140.00,1,100.00,100.00,2,140.00,100.00,
aparthotel,private room,4,"05-2020",100.00,161.00,249.00,205.0,205.00,2,50.00,100.00,31,3815.50,,
aparthotel,private room,4,"06-2020",100.00,161.00,249.00,205.0,205.00,2,50.00,100.00,60,6150.00,0.00,
aparthotel,private room,4,"07-2020",100.00,160.00,160.00,160.0,160.00,1,100.00,100.00,2,160.00,0.00,
apartment,entire home/apt,1,"05-2020",100.00,20.00,804.00,98.5,126.15,100,8.00,95.56,2468,2781.80,,
apartment,entire home/apt,1,"06-2020",100.00,20.00,789.00,99.0,125.67,100,8.00,95.26,2455,2744.76,0.00,
apartment,entire home/apt,1,"07-2020",100.00,20.00,2157.00,98.5,178.36,86,8.14,94.41,2050,4141.52,-13.73,
apartment,entire home/apt,2,"05-2020",100.00,15.00,12001.00,130.0,221.76,4646,14.87,95.35,127290,4053.08,,
apartment,entire home/apt,2,"06-2020",100.00,14.00,12000.00,134.0,220.33,4574,14.91,95.34,128470,4032.84,-1.91,
apartment,entire home/apt,2,"07-2020",100.00,14.00,12000.00,139.0,291.33,3834,15.57,95.53,109514,4427.28,-13.44,
apartment,entire home/apt,3,"05-2020",100.00,15.00,2544.00,139.0,194.44,1289,15.44,94.43,32388,3758.77,,
apartment,entire home/apt,3,"06-2020",100.00,14.00,2456.00,140.0,194.44,1270,15.51,94.66,32505,3791.32,-2.24,
apartment,entire home/apt,3,"07-2020",100.00,14.00,2711.00,141.0,171.17,1047,16.91,94.60,26856,3773.90,-19.54,
apartment,entire home/apt,4,"05-2020",100.00,0,10000.00,181.0,238.83,3909,15.45,94.64,106656,4856.94,,
apartment,entire home/apt,4,"06-2020",100.00,0,10000.00,180.0,236.95,3830,15.30,94.68,107489,5127.44,-3.15,
apartment,entire home/apt,4,"07-2020",100.00,0,7000.00,180.0,243.24,3141,15.41,94.61,88264,5041.00,-18.30,
apartment,entire home/apt,5,"05-2020",100.00,31.00,2440.00,194.0,240.55,764,15.84,92.44,19216,4527.40,,
apartment,entire home/apt,5,"06-2020",100.00,30.00,2440.00,197.0,240.61,750,16.13,92.75,19165,4759.22,-4.35,
apartment,entire home/apt,5,"07-2020",100.00,30.00,2711.00,198.0,243.82,615,16.26,92.74,15781,5065.96,-22.43,
apartment,entire home/apt,6,"05-2020",100.00,28.00,6000.00,219.0,310.14,884,22.06,93.43,23409,5310.81,,
apartment,entire home/apt,6,"06-2020",100.00,27.00,5999.00,220.0,314.73,863,21.55,93.76,24267,5874.13,-2.84,
apartment,entire home/apt,6,"07-2020",100.00,27.00,5145.00,219.0,315.27,729,22.09,93.85,20697,6003.99,-16.98,
apartment,entire home/apt,7,"05-2020",100.00,67.00,2001.00,250.0,320.87,123,23.58,92.85,2453,4619.98,,
apartment,entire home/apt,7,"06-2020",100.00,68.00,1999.00,259.0,341.64,112,23.21,93.36,2260,4707.57,-13.33,
apartment,entire home/apt,7,"07-2020",100.00,50.00,1041.00,250.0,304.48,98,24.49,92.87,1993,4698.15,-16.78,
apartment,entire home/apt,8,"05-2020",100.00,75.00,10000.00,248.5,442.07,131,23.66,92.59,2798,7710.05,,
apartment,entire home/apt,8,"06-2020",100.00,75.00,10000.00,249.0,449.85,126,23.02,93.25,2903,7536.87,-5.67,
apartment,entire home/apt,8,"07-2020",100.00,75.00,10000.00,250.0,499.68,106,23.58,92.66,2390,8358.16,-12.57,
apartment,entire home/apt,9,"05-2020",100.00,80.00,700.00,214.0,257.89,26,34.62,91.26,620,4629.77,,
apartment,entire home/apt,9,"06-2020",100.00,80.00,699.00,222.0,258.06,24,33.33,91.59,600,4448.85,-2.86,
apartment,entire home/apt,9,"07-2020",100.00,81.00,701.00,201.0,241.54,20,25.00,91.58,434,3893.85,-23.53,
apartment,entire home/apt,10,"05-2020",100.00,90.00,1000.00,300.0,384.81,20,15.00,91.19,433,7504.96,,
apartment,entire home/apt,10,"06-2020",100.00,90.00,1000.00,310.0,388.00,21,14.29,91.62,408,6909.27,-3.70,
apartment,entire home/apt,10,"07-2020",100.00,91.00,1001.00,299.0,418.79,17,17.65,90.05,263,6865.89,-26.92,
apartment,entire home/apt,11,"05-2020",100.00,298.00,580.00,344.5,391.75,4,25.00,98.50,90,9270.00,,
apartment,entire home/apt,11,"06-2020",100.00,299.00,581.00,344.0,392.00,4,25.00,93.50,67,5693.25,0.00,
apartment,entire home/apt,11,"07-2020",100.00,299.00,580.00,439.5,439.50,2,0.00,98.00,34,5645.00,-50.00,
apartment,entire home/apt,12,"05-2020",100.00,240.00,700.00,337.0,391.13,7,28.57,94.63,202,10346.00,,
apartment,entire home/apt,12,"06-2020",100.00,250.00,699.00,358.0,412.71,6,33.33,93.86,166,10514.86,-12.50,
apartment,entire home/apt,12,"07-2020",100.00,198.00,699.00,428.0,421.25,7,28.57,94.50,173,9617.25,14.29,
apartment,entire home/apt,13,"05-2020",100.00,250.00,250.00,250.0,250.00,1,100.00,99.00,0,0.00,,
apartment,entire home/apt,13,"06-2020",100.00,249.00,249.00,249.0,249.00,1,100.00,99.00,3,747.00,0.00,
apartment,entire home/apt,13,"07-2020",100.00,249.00,249.00,249.0,249.00,1,100.00,99.00,1,249.00,0.00,
apartment,entire home/apt,14,"05-2020",100.00,151.00,501.00,243.5,273.00,5,60.00,77.83,90,3680.00,,
apartment,entire home/apt,14,"06-2020",100.00,151.00,269.00,240.0,225.00,3,33.33,67.00,61,3805.00,-33.33,
apartment,entire home/apt,14,"07-2020",100.00,150.00,268.00,240.0,224.50,3,33.33,67.00,62,3835.00,0.00,
apartment,entire home/apt,15,"05-2020",100.00,268.00,268.00,268.0,268.00,1,100.00,100.00,30,8040.00,,
apartment,entire home/apt,16,"05-2020",100.00,100.00,801.00,400.0,434.00,3,33.33,99.00,70,4757.14,,
apartment,entire home/apt,16,"06-2020",100.00,280.00,799.00,400.0,469.57,3,33.33,99.00,130,10202.86,0.00,
apartment,entire home/apt,16,"07-2020",100.00,280.00,1001.00,580.0,590.00,2,50.00,98.83,135,12836.17,-14.29,
apartment,hotel room,4,"05-2020",100.00,300.00,350.00,325.0,325.00,1,0.00,93.00,60,9750.00,,
apartment,hotel room,4,"06-2020",100.00,300.00,350.00,325.0,325.00,1,0.00,93.00,60,9750.00,0.00,
apartment,hotel room,6,"05-2020",100.00,335.00,335.00,335.0,335.00,1,0.00,83.00,0,0.00,,
apartment,hotel room,6,"06-2020",100.00,335.00,335.00,335.0,335.00,1,0.00,83.00,4,1340.00,0.00,
apartment,hotel room,6,"07-2020",100.00,334.00,334.00,334.0,334.00,1,0.00,85.00,30,10020.00,0.00,
apartment,hotel room,8,"05-2020",100.00,190.00,190.00,190.0,190.00,1,0.00,85.00,9,1710.00,,
apartment,hotel room,8,"06-2020",100.00,190.00,190.00,190.0,190.00,1,0.00,85.00,30,5700.00,0.00,
apartment,private room,1,"05-2020",100.00,0,4000.00,60.0,76.38,1671,7.54,96.48,36837,1381.12,,
apartment,private room,1,"06-2020",100.00,0,4000.00,60.0,76.78,1651,7.33,96.21,36396,1385.20,-1.34,
apartment,private room,1,"07-2020",100.00,0,4000.00,60.0,75.21,1423,7.94,96.55,30198,1328.20,-14.20,
apartment,private room,2,"05-2020",100.00,5.00,10001.00,75.0,92.18,4367,10.46,95.87,105199,1910.53,,
apartment,private room,2,"06-2020",100.00,4.00,10000.00,74.0,91.74,4358,10.37,95.85,104346,1875.27,-0.11,
apartment,private room,2,"07-2020",100.00,4.00,10000.00,75.0,93.59,3705,10.69,95.91,86019,1847.23,-15.90,
apartment,private room,3,"05-2020",100.00,0,14999.00,75.0,184.94,152,13.16,94.39,3063,4455.53,,
apartment,private room,3,"06-2020",100.00,0,15000.00,74.5,185.59,151,12.58,94.90,3082,3466.37,-0.61,
apartment,private room,3,"07-2020",100.00,0,15000.00,72.0,192.86,135,12.59,95.10,2576,4658.06,-10.49,
apartment,private room,4,"05-2020",100.00,38.00,2001.00,119.0,171.31,100,11.00,96.72,2272,3743.58,,
apartment,private room,4,"06-2020",100.00,39.00,1999.00,120.0,170.61,100,11.00,96.79,2200,3605.95,0.00,
apartment,private room,4,"07-2020",100.00,37.00,2000.00,121.0,172.89,91,12.09,96.16,1856,3426.13,-9.71,
apartment,private room,5,"05-2020",100.00,60.00,2001.00,109.5,304.08,12,25.00,95.08,218,2564.50,,
apartment,private room,5,"06-2020",100.00,60.00,1999.00,110.0,291.85,13,23.08,94.85,234,2474.15,8.33,
apartment,private room,5,"07-2020",100.00,60.00,380.00,129.5,175.10,10,30.00,96.50,192,3203.10,-23.08,
apartment,private room,6,"05-2020",100.00,99.00,260.00,150.0,155.00,7,14.29,92.00,119,2899.29,,
apartment,private room,6,"06-2020",100.00,100.00,260.00,150.0,154.86,7,14.29,92.00,150,3788.57,0.00,
apartment,private room,6,"07-2020",100.00,100.00,200.00,100.0,129.80,5,20.00,91.60,94,2764.20,-28.57,
apartment,private room,7,"05-2020",100.00,1000.00,1000.00,1000.0,1000.00,1,0.00,100.00,0,0.00,,
apartment,private room,7,"06-2020",100.00,55.00,1000.00,527.5,527.50,2,0.00,96.50,19,522.50,100.00,
apartment,private room,8,"05-2020",100.00,45.00,45.00,45.0,45.00,1,100.00,94.00,30,1350.00,,
apartment,private room,8,"06-2020",100.00,45.00,45.00,45.0,45.00,1,100.00,94.00,29,1305.00,0.00,
apartment,private room,8,"07-2020",100.00,46.00,46.00,46.0,46.00,1,100.00,94.00,30,1380.00,0.00,
apartment,private room,10,"05-2020",100.00,419.00,419.00,419.0,419.00,1,0.00,80.00,30,12570.00,,
apartment,private room,10,"06-2020",100.00,420.00,420.00,420.0,420.00,1,0.00,80.00,30,12600.00,0.00,
apartment,private room,10,"07-2020",100.00,420.00,420.00,420.0,420.00,1,0.00,80.00,30,12600.00,0.00,
apartment,private room,16,"05-2020",100.00,47.00,47.00,47.0,47.00,1,0.00,100.00,30,1410.00,,
apartment,private room,16,"06-2020",100.00,47.00,47.00,47.0,47.00,1,0.00,100.00,30,1410.00,0.00,
apartment,private room,16,"07-2020",100.00,47.00,47.00,47.0,47.00,1,0.00,100.00,30,1410.00,0.00,
apartment,shared room,1,"05-2020",100.00,15.00,586.00,35.0,49.41,231,2.60,96.62,5544,819.13,,
apartment,shared room,1,"06-2020",100.00,14.00,550.00,34.0,50.47,234,2.56,96.63,5564,851.85,-3.65,
apartment,shared room,1,"07-2020",100.00,14.00,500.00,37.0,50.49,207,2.42,96.67,4780,902.29,-16.55,
apartment,shared room,2,"05-2020",100.00,0,390.00,53.0,71.76,87,0.00,95.32,1757,1166.50,,
apartment,shared room,2,"06-2020",100.00,0,390.00,59.0,72.80,84,0.00,96.08,1698,1187.21,-5.21,
apartment,shared room,2,"07-2020",100.00,0,390.00,55.0,69.26,75,0.00,95.70,1478,1142.34,-15.38,
apartment,shared room,3,"05-2020",100.00,5.00,51.00,30.0,30.50,4,0.00,91.33,63,293.50,,
apartment,shared room,3,"06-2020",100.00,4.00,50.00,29.5,30.00,5,0.00,93.50,71,247.00,33.33,
apartment,shared room,3,"07-2020",100.00,22.00,50.00,36.0,33.71,4,0.00,92.57,48,277.00,-12.50,
apartment,shared room,4,"05-2020",100.00,31.00,119.00,40.0,49.69,9,11.11,85.23,130,427.69,,
apartment,shared room,4,"06-2020",100.00,30.00,90.00,34.0,40.91,8,12.50,88.91,99,417.27,-15.38,
apartment,shared room,4,"07-2020",100.00,35.00,91.00,40.0,47.67,6,16.67,89.17,61,440.17,-45.45,
apartment,shared room,5,"05-2020",100.00,21.00,261.00,141.0,141.00,2,0.00,95.50,30,3915.00,,
apartment,shared room,5,"06-2020",100.00,21.00,243.00,132.0,132.00,2,0.00,95.50,30,3645.00,0.00,
apartment,shared room,5,"07-2020",100.00,22.00,244.00,133.0,133.00,2,0.00,95.50,30,3660.00,0.00,
apartment,shared room,7,"05-2020",100.00,35.00,99.00,67.0,67.00,2,0.00,90.00,60,2010.00,,
apartment,shared room,7,"06-2020",100.00,34.00,100.00,67.0,67.00,2,0.00,90.00,60,2010.00,0.00,
apartment,shared room,7,"07-2020",100.00,34.00,100.00,67.0,67.00,2,0.00,90.00,60,2010.00,0.00,
barn,entire home/apt,2,"05-2020",100.00,275.00,275.00,275.0,275.00,1,100.00,100.00,0,0.00,,
barn,entire home/apt,2,"06-2020",100.00,275.00,275.00,275.0,275.00,1,100.00,100.00,3,825.00,0.00,
barn,entire home/apt,2,"08-2020",100.00,275.00,275.00,275.0,275.00,1,100.00,100.00,18,4950.00,0.00,
barn,entire home/apt,2,"09-2020",100.00,275.00,275.00,275.0,275.00,1,100.00,100.00,52,7150.00,100.00,
barn,entire home/apt,2,"10-2020",100.00,275.00,275.00,275.0,275.00,1,100.00,100.00,15,4125.00,-50.00,
barn,entire home/apt,2,"11-2020",100.00,220.00,275.00,247.5,247.50,2,100.00,100.00,33,4180.00,100.00,
barn,entire home/apt,2,"12-2020",100.00,250.00,275.00,262.5,262.50,2,100.00,99.50,57,7462.50,0.00,
barn,entire home/apt,2,"01-2021",100.00,250.00,275.00,262.5,262.50,2,100.00,99.50,48,6225.00,0.00,
barn,entire home/apt,2,"02-2021",100.00,250.00,275.00,262.5,262.50,2,100.00,99.50,46,5950.00,0.00,
barn,entire home/apt,2,"03-2021",100.00,250.00,275.00,262.5,262.50,2,100.00,99.50,40,5125.00,0.00,
barn,entire home/apt,2,"04-2021",100.00,250.00,275.00,262.5,262.50,2,100.00,99.50,59,7737.50,0.00,
barn,entire home/apt,4,"02-2021",100.00,450.00,450.00,450.0,450.00,1,100.00,99.00,30,13500.00,,
barn,entire home/apt,4,"03-2021",100.00,450.00,450.00,450.0,450.00,1,100.00,99.00,30,13500.00,0.00,
barn,entire home/apt,6,"05-2020",100.00,350.00,350.00,350.0,350.00,1,100.00,100.00,0,0.00,,
barn,entire home/apt,6,"06-2020",100.00,350.00,350.00,350.0,350.00,1,100.00,100.00,4,1400.00,0.00,
barn,entire home/apt,6,"07-2020",100.00,350.00,350.00,350.0,350.00,1,100.00,100.00,22,7700.00,0.00,
barn,entire home/apt,6,"08-2020",100.00,400.00,400.00,400.0,400.00,1,100.00,100.00,16,6400.00,0.00,
barn,entire home/apt,6,"09-2020",100.00,400.00,400.00,400.0,400.00,1,100.00,100.00,21,8400.00,0.00,
barn,entire home/apt,6,"10-2020",100.00,450.00,450.00,450.0,450.00,1,100.00,100.00,30,13500.00,0.00,
barn,entire home/apt,6,"11-2020",100.00,450.00,450.00,450.0,450.00,1,100.00,100.00,13,5850.00,0.00,
barn,entire home/apt,6,"12-2020",100.00,650.00,650.00,650.0,650.00,1,100.00,99.00,25,16250.00,0.00,
barn,entire home/apt,6,"01-2021",100.00,650.00,650.00,650.0,650.00,1,100.00,99.00,12,7800.00,0.00,
barn,private room,1,"07-2020",100.00,16.00,16.00,16.0,16.00,1,0.00,70.00,19,304.00,,
barn,private room,2,"05-2020",100.00,75.00,75.00,75.0,75.00,1,100.00,99.00,30,2250.00,,
barn,private room,2,"06-2020",100.00,16.00,75.00,55.0,48.67,3,33.33,89.67,35,776.67,200.00,
barn,private room,2,"07-2020",100.00,43.00,76.00,56.0,58.33,3,33.33,99.67,30,760.00,0.00,
barn,shared room,2,"05-2020",100.00,34.00,34.00,34.0,34.00,1,0.00,77.00,0,0.00,,
barn,shared room,2,"06-2020",100.00,16.00,16.00,16.0,16.00,1,0.00,75.00,5,80.00,0.00,
bed and breakfast,hotel room,1,"05-2020",100.00,41.00,44.00,42.5,42.50,2,50.00,94.50,30,660.00,,
bed and breakfast,hotel room,1,"06-2020",100.00,41.00,44.00,42.5,42.50,2,50.00,94.50,30,660.00,0.00,
bed and breakfast,hotel room,1,"07-2020",100.00,42.00,45.00,43.5,43.50,2,50.00,94.50,30,675.00,0.00,
bed and breakfast,hotel room,2,"05-2020",100.00,91.00,309.00,207.0,212.20,3,66.67,82.00,92,4660.80,,
bed and breakfast,hotel room,2,"06-2020",100.00,90.00,309.00,207.0,211.80,3,66.67,82.00,75,3623.00,0.00,
bed and breakfast,hotel room,2,"07-2020",100.00,91.00,309.00,207.0,212.20,3,66.67,82.00,54,2314.40,0.00,
bed and breakfast,hotel room,3,"05-2020",100.00,259.00,400.00,329.5,329.50,1,100.00,98.00,60,9885.00,,
bed and breakfast,hotel room,3,"06-2020",100.00,259.00,399.00,329.0,329.00,1,100.00,98.00,50,7875.00,0.00,
bed and breakfast,hotel room,3,"07-2020",100.00,259.00,259.00,259.0,259.00,1,100.00,96.00,30,7770.00,-50.00,
bed and breakfast,hotel room,4,"05-2020",100.00,37.00,37.00,37.0,37.00,1,0.00,69.00,0,0.00,,
bed and breakfast,hotel room,4,"06-2020",100.00,36.00,36.00,36.0,36.00,1,0.00,69.00,7,252.00,0.00,
bed and breakfast,hotel room,4,"07-2020",100.00,36.00,36.00,36.0,36.00,1,0.00,68.00,0,0.00,0.00,
bed and breakfast,private room,1,"05-2020",100.00,32.00,151.00,57.0,65.40,14,7.14,98.13,157,603.53,,
bed and breakfast,private room,1,"06-2020",100.00,33.00,150.00,56.0,65.53,14,7.14,98.13,154,587.73,0.00,
bed and breakfast,private room,1,"07-2020",100.00,33.00,150.00,53.0,63.43,13,7.69,98.00,155,567.57,-6.67,
bed and breakfast,private room,2,"05-2020",100.00,38.00,3001.00,98.0,161.34,43,25.58,95.18,781,1015.57,,
bed and breakfast,private room,2,"06-2020",100.00,39.00,3000.00,98.0,160.93,43,23.26,95.20,806,1224.57,0.00,
bed and breakfast,private room,2,"07-2020",100.00,39.00,3001.00,110.0,168.62,41,21.95,95.25,725,1109.18,-4.05,
bed and breakfast,private room,3,"05-2020",100.00,55.00,134.00,65.0,84.67,2,0.00,76.67,2,36.67,,
bed and breakfast,private room,3,"06-2020",100.00,55.00,133.00,64.0,84.00,2,0.00,76.67,2,36.67,0.00,
bed and breakfast,private room,3,"07-2020",100.00,56.00,133.00,72.5,83.50,3,0.00,82.50,28,554.50,33.33,
bed and breakfast,private room,4,"05-2020",100.00,34.00,1000.00,137.0,255.00,8,12.50,97.63,99,4562.00,,
bed and breakfast,private room,4,"06-2020",100.00,33.00,1000.00,137.5,255.25,8,12.50,97.63,143,5677.63,0.00,
bed and breakfast,private room,4,"07-2020",100.00,33.00,1001.00,140.0,266.13,8,12.50,97.63,79,4603.88,0.00,
bed and breakfast,private room,5,"05-2020",100.00,205.00,248.00,226.5,226.50,2,0.00,84.50,30,3720.00,,
bed and breakfast,private room,5,"06-2020",100.00,205.00,249.00,227.0,227.00,2,0.00,84.50,32,3940.00,0.00,
bed and breakfast,private room,5,"07-2020",100.00,206.00,206.00,206.0,206.00,1,0.00,82.00,0,0.00,-50.00,
bed and breakfast,private room,6,"05-2020",100.00,120.00,230.00,175.0,175.00,2,0.00,93.00,0,0.00,,
bed and breakfast,private room,6,"06-2020",100.00,120.00,120.00,120.0,120.00,1,0.00,100.00,5,600.00,-50.00,
bed and breakfast,private room,6,"07-2020",100.00,120.00,120.00,120.0,120.00,1,0.00,100.00,0,0.00,0.00,
bed and breakfast,private room,7,"05-2020",100.00,349.00,349.00,349.0,349.00,1,0.00,90.00,30,10470.00,,
bed and breakfast,shared room,1,"05-2020",100.00,29.00,38.00,34.5,34.00,4,0.00,90.75,30,217.50,,
bed and breakfast,shared room,1,"06-2020",100.00,29.00,39.00,34.5,34.25,4,0.00,90.75,30,217.50,0.00,
bed and breakfast,shared room,1,"07-2020",100.00,29.00,37.00,33.5,33.25,4,0.00,90.75,30,217.50,0.00,
bed and breakfast,shared room,2,"05-2020",100.00,35.00,35.00,35.0,35.00,1,0.00,97.00,30,1050.00,,
bed and breakfast,shared room,2,"06-2020",100.00,35.00,35.00,35.0,35.00,1,0.00,97.00,19,665.00,0.00,
bed and breakfast,shared room,2,"07-2020",100.00,36.00,36.00,36.0,36.00,1,0.00,97.00,30,1080.00,0.00,
bed and breakfast,shared room,4,"05-2020",100.00,41.00,41.00,41.0,41.00,1,0.00,76.00,0,0.00,,
bed and breakfast,shared room,4,"06-2020",100.00,41.00,41.00,41.0,41.00,1,0.00,76.00,0,0.00,0.00,
bed and breakfast,shared room,4,"07-2020",100.00,42.00,42.00,42.0,42.00,1,0.00,76.00,0,0.00,0.00,
bed and breakfast,shared room,6,"05-2020",100.00,28.00,28.00,28.0,28.00,1,0.00,78.00,0,0.00,,
bed and breakfast,shared room,6,"06-2020",100.00,29.00,29.00,29.0,29.00,1,0.00,78.00,0,0.00,0.00,
bed and breakfast,shared room,8,"05-2020",100.00,38.00,38.00,38.0,38.00,1,0.00,85.00,0,0.00,,
bed and breakfast,shared room,8,"06-2020",100.00,34.00,34.00,34.0,34.00,1,0.00,80.00,0,0.00,-66.67,
bed and breakfast,shared room,8,"07-2020",100.00,35.00,35.00,35.0,35.00,1,0.00,80.00,0,0.00,0.00,
bed and breakfast,shared room,10,"05-2020",100.00,65.00,65.00,65.0,65.00,1,0.00,100.00,1,65.00,,
bed and breakfast,shared room,10,"06-2020",100.00,65.00,65.00,65.0,65.00,1,0.00,100.00,1,65.00,0.00,
bed and breakfast,shared room,10,"07-2020",100.00,65.00,65.00,65.0,65.00,1,0.00,100.00,1,65.00,0.00,
bed and breakfast,shared room,12,"05-2020",100.00,35.00,35.00,35.0,35.00,1,0.00,92.00,30,1050.00,,
bed and breakfast,shared room,12,"06-2020",100.00,34.00,34.00,34.0,34.00,1,0.00,92.00,30,1020.00,0.00,
bed and breakfast,shared room,12,"07-2020",100.00,35.00,35.00,35.0,35.00,1,0.00,92.00,30,1050.00,0.00,
boat,entire home/apt,1,"05-2020",100.00,399.00,399.00,399.0,399.00,1,0.00,100.00,30,11970.00,,
boat,entire home/apt,1,"06-2020",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,1,"07-2020",100.00,401.00,401.00,401.0,401.00,1,0.00,100.00,30,12030.00,0.00,
boat,entire home/apt,1,"08-2020",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,1,"09-2020",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,1,"10-2020",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,1,"11-2020",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,1,"12-2020",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,1,"01-2021",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,1,"02-2021",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,1,"03-2021",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,1,"04-2021",100.00,400.00,400.00,400.0,400.00,1,0.00,100.00,30,12000.00,0.00,
boat,entire home/apt,2,"05-2020",100.00,161.00,550.00,374.5,365.00,4,25.00,99.00,93,7237.50,,
boat,entire home/apt,2,"06-2020",100.00,160.00,551.00,375.0,365.25,4,25.00,99.00,61,3488.25,0.00,
boat,entire home/apt,2,"07-2020",100.00,160.00,551.00,375.0,365.25,4,25.00,99.25,62,3425.75,0.00,
boat,entire home/apt,2,"08-2020",100.00,141.00,500.00,350.0,356.20,5,40.00,99.40,72,3730.60,25.00,
boat,entire home/apt,2,"09-2020",100.00,141.00,500.00,350.0,355.00,5,40.00,99.40,72,3694.60,0.00,
boat,entire home/apt,2,"10-2020",100.00,141.00,500.00,380.0,361.00,5,40.00,99.40,89,5403.20,0.00,
boat,entire home/apt,2,"11-2020",100.00,286.00,500.00,400.0,408.40,5,60.00,99.20,119,9692.80,0.00,
boat,entire home/apt,2,"12-2020",100.00,290.00,550.00,500.0,444.80,5,60.00,99.40,100,8141.80,0.00,
boat,entire home/apt,2,"01-2021",100.00,288.00,566.00,500.0,450.80,5,60.00,99.40,118,10034.00,0.00,
boat,entire home/apt,2,"02-2021",100.00,285.00,520.00,499.0,435.00,5,60.00,99.40,77,6066.80,0.00,
boat,entire home/apt,2,"03-2021",100.00,356.00,520.00,510.0,474.00,4,50.00,99.25,88,10388.00,-20.00,
boat,entire home/apt,2,"04-2021",100.00,500.00,520.00,520.0,513.33,3,33.33,99.00,52,8886.67,-25.00,
boat,entire home/apt,4,"05-2020",100.00,250.00,1699.00,307.0,531.50,7,14.29,97.60,67,3210.10,,
boat,entire home/apt,4,"06-2020",100.00,249.00,1700.00,307.5,531.30,7,14.29,97.60,34,1173.40,0.00,
boat,entire home/apt,4,"07-2020",100.00,248.00,1701.00,307.5,582.38,7,14.29,98.50,19,1062.75,-20.00,
boat,entire home/apt,4,"08-2020",100.00,260.00,1700.00,375.0,594.33,7,14.29,98.22,26,2145.44,12.50,
boat,entire home/apt,4,"09-2020",100.00,260.00,1700.00,387.0,602.42,8,12.50,98.08,65,4464.08,33.33,
boat,entire home/apt,4,"10-2020",100.00,325.00,1700.00,400.0,690.92,7,14.29,98.58,175,9793.67,0.00,
boat,entire home/apt,4,"11-2020",100.00,326.00,1700.00,399.0,680.57,6,16.67,99.43,41,2804.43,-41.67,
boat,entire home/apt,4,"12-2020",100.00,326.00,1700.00,400.0,686.71,6,16.67,97.86,70,5967.14,0.00,
