taxi_type,avg_duration_min,median_duration_min,min_duration_min,max_duration_min,avg_trip_distance_km,median_trip_distance_km,min_trip_distance_km,max_trip_distance_km,avg_speed_km,median_speed_km,min_speed_km,max_speed_km
green,13.63,10.55,1.02,300,4.79,3.12,0.16,160.89,20.44,18.56,0.04,321.87
yellow,14.42,11.28,1.02,300,4.91,2.75,0.16,160.93,18.9,16.58,0.03,321.87
